Week End,Crude Volumes For The Week
02/01/1994,75.55
02/01/1994,111.54
02/01/1994,78.84
02/08/1994,77.11
02/08/1994,113.54
02/08/1994,83.2
02/15/1994,74.28
02/15/1994,114.53
02/15/1994,83.17
02/22/1994,76.93
02/22/1994,111.72
02/22/1994,82.16
03/01/1994,74.16
03/01/1994,109.01
03/01/1994,80.71
03/08/1994,76.32
03/08/1994,108.5
03/08/1994,81.36
03/15/1994,79.65
03/15/1994,113.99
03/15/1994,81.46
03/22/1994,77.84
03/22/1994,112.54
03/22/1994,81.45
03/29/1994,75.57
03/29/1994,103.85
03/29/1994,81.88
04/05/1994,73.84
04/05/1994,98.55
04/05/1994,83.22
04/12/1994,76.29
04/12/1994,107.05
04/12/1994,78.67
04/19/1994,75.12
04/19/1994,110.22
04/19/1994,77.45
04/26/1994,71.86
04/26/1994,104.45
04/26/1994,77.8
05/03/1994,72.32
05/03/1994,98.12
05/03/1994,75.03
05/10/1994,71.46
05/10/1994,96.5
05/10/1994,79.73
05/17/1994,67.49
05/17/1994,89.44
05/17/1994,69.77
05/24/1994,62.79
05/24/1994,70.07
05/24/1994,73.3
05/31/1994,58.22
05/31/1994,65.74
05/31/1994,70.61
06/07/1994,52.43
06/07/1994,84.57
06/07/1994,65.99
06/14/1994,50.03
06/14/1994,78.19
06/14/1994,69.96
06/21/1994,51.99
06/21/1994,95.52
06/21/1994,72.52
06/28/1994,61.95
06/28/1994,96.78
06/28/1994,77.86
07/05/1994,65.46
07/05/1994,98.0
07/05/1994,81.67
07/12/1994,72.9
07/12/1994,96.36
07/12/1994,83.85
07/19/1994,77.96
07/19/1994,95.89
07/19/1994,83.13
07/26/1994,76.39
07/26/1994,95.68
07/26/1994,86.03
08/02/1994,75.65
08/02/1994,94.53
08/02/1994,87.59
08/09/1994,75.43
08/09/1994,93.81
08/09/1994,83.79
08/16/1994,76.03
08/16/1994,92.63
08/16/1994,90.08
08/23/1994,76.31
08/23/1994,92.46
08/23/1994,84.69
08/30/1994,68.75
08/30/1994,96.13
08/30/1994,77.05
09/06/1994,68.28
09/06/1994,95.32
09/06/1994,76.34
09/13/1994,67.46
09/13/1994,100.0
09/13/1994,79.2
09/20/1994,64.66
09/20/1994,94.89
09/20/1994,80.03
09/27/1994,66.47
09/27/1994,95.22
09/27/1994,80.9
10/04/1994,68.47
10/04/1994,98.14
10/04/1994,74.37
10/11/1994,73.9
10/11/1994,90.38
10/11/1994,71.25
10/18/1994,76.01
10/18/1994,81.79
10/18/1994,78.38
10/25/1994,74.48
10/25/1994,93.8
10/25/1994,81.41
11/01/1994,73.44
11/01/1994,90.28
11/01/1994,82.56
11/08/1994,72.16
11/08/1994,92.31
11/08/1994,75.71
11/15/1994,73.57
11/15/1994,94.62
11/15/1994,75.06
11/22/1994,71.34
11/22/1994,107.5
11/22/1994,75.1
11/29/1994,70.68
11/29/1994,107.47
11/29/1994,73.86
12/06/1994,67.93
12/06/1994,107.21
12/06/1994,74.3
12/13/1994,70.05
12/13/1994,110.54
12/13/1994,74.62
12/20/1994,70.94
12/20/1994,112.03
12/20/1994,75.54
12/27/1994,69.72
12/27/1994,109.46
12/27/1994,78.34
01/03/1995,70.26
01/03/1995,109.09
01/03/1995,80.56
01/10/1995,75.83
01/10/1995,110.12
01/10/1995,87.32
01/17/1995,73.05
01/17/1995,108.01
01/17/1995,87.6
01/24/1995,74.43
01/24/1995,104.86
01/24/1995,83.87
01/31/1995,74.15
01/31/1995,104.87
01/31/1995,83.27
02/07/1995,73.12
02/07/1995,108.42
02/07/1995,84.95
02/14/1995,72.69
02/14/1995,108.41
02/14/1995,84.02
02/21/1995,74.93
02/21/1995,106.55
02/21/1995,84.37
02/28/1995,75.49
02/28/1995,105.08
02/28/1995,70.43
03/07/1995,72.68
03/07/1995,104.23
03/07/1995,66.89
03/14/1995,74.4
03/14/1995,103.63
03/14/1995,81.31
03/21/1995,73.39
03/21/1995,101.81
03/21/1995,85.89
03/28/1995,70.27
03/28/1995,103.95
03/28/1995,82.01
04/04/1995,65.68
04/04/1995,98.8
04/04/1995,69.26
04/11/1995,65.8
04/11/1995,96.26
04/11/1995,57.71
04/18/1995,64.95
04/18/1995,90.98
04/18/1995,56.75
04/25/1995,69.32
04/25/1995,79.94
04/25/1995,56.5
05/02/1995,68.2
05/02/1995,81.95
05/02/1995,51.7
05/09/1995,60.82
05/09/1995,82.63
05/09/1995,65.02
05/16/1995,59.68
05/16/1995,88.68
05/16/1995,66.77
05/23/1995,62.7
05/23/1995,83.86
05/23/1995,70.36
05/30/1995,60.83
05/30/1995,84.12
05/30/1995,75.89
06/06/1995,61.79
06/06/1995,87.59
06/06/1995,77.71
06/13/1995,62.59
06/13/1995,90.46
06/13/1995,81.27
06/20/1995,72.59
06/20/1995,101.62
06/20/1995,81.39
06/27/1995,72.3
06/27/1995,101.74
06/27/1995,81.94
07/04/1995,77.16
07/04/1995,106.39
07/04/1995,84.04
07/11/1995,74.48
07/11/1995,107.15
07/11/1995,79.02
07/18/1995,75.67
07/18/1995,106.89
